text,is_task,task
Hmm thinking of trying a new recipe tonight (maybe smth with chicken),0,
Can u plz pass me the report thats due on Fri? Need to review it before meeting,1,Review report
I love spending time outdoors esp during summer months,0,
Dont't forget to set your clocks forward DST starts on sun,1,Set clocks forward
I'm so excited for the concert tonight been listening to the band's new album nonstop,0,
Can you help me brainstorm ideas for my thesis paper? having trouble getting started,1,Brainstorm ideas
Weather forecast says theres a chance of rain tmr so i'll bring an umbrella,1,Bring umbrella
I've been meaning to learn how to play the guitar mebbe i'll take lessons soon,0,
Plz remind me to pick up my sis from aiport tmr at 5pm,1,Pick up sister from airport
Thinking of starting new exercise routine (maybe yoga/pilates),0,
Proj deadline coming soon lets finalize the design and send it to the client by end of week,1,Finalize project design
I love reading books esp science fiction,0,
Can u help troubleshoot my computer? its kinda slow lately,1,Troubleshoot computer
New restaurant has rave reviews we should try it out this weekend,0,
I need to book a hotel for conference next month - help me find good deals?,1,Book hotel
Excited for holiday season i luv decorating the house and cooking festive meals,0,
Can u review the contract and lmk if everything looks good,1,Review contract
Traffic on the highway is terrible i'll prob take the side roads to avoid it,0,
Been meaning to organize my closet maybe i'll do it this weekend,1,Organize closet
New movie that came out is supposed to be rlly good we should go it see it tonight,0,
